N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
156,대웅,"23,600",150,-0.63%,500,"13,722","58,142",7.58,"243,991",27.19,10.43,
157,메리츠금융지주,"10,100",100,-0.98%,500,"13,535","134,011",8.10,"294,990",3.35,15.26,
158,아이에스동서,"43,600","1,000",+2.35%,500,"13,469","30,893",5.43,"112,941",23.06,6.10,
159,F&F,"87,200",500,+0.58%,500,"13,429","15,400",10.82,"127,907",13.06,25.13,
160,SK디스커버리,"69,600",300,-0.43%,"5,000","13,250","19,038",10.25,"168,366",4.57,11.52,
161,한전KPS,"29,400",300,+1.03%,200,"13,230","45,000",13.24,"321,747",10.91,14.98,
162,제일약품,"89,800",500,-0.55%,500,"13,205","14,705",3.29,"3,878,268",-177.82,-5.96,
163,한화시스템,"11,800",0,0.00%,"5,000","13,007","110,230",1.91,"371,295",16.71,8.15,
164,KODEX 200TR,"11,240",60,+0.54%,0,"12,780","113,700",20.35,"289,182",N/A,N/A,
165,두산솔루스,"41,700","1,550",+3.86%,100,"12,756","30,590",7.76,"622,858",92.46,N/A,
166,현대위아,"46,600",0,0.00%,"5,000","12,673","27,195",11.53,"227,522",20.10,1.80,
167,파미셀,"20,950",550,-2.56%,500,"12,561","59,959",7.65,"2,071,775",182.17,8.78,
168,DGB금융지주,"7,380",30,-0.40%,"5,000","12,483","169,146",46.89,"426,338",4.02,7.31,
169,일양약품,"64,700",800,-1.22%,"2,500","12,348","19,086",8.27,"238,200",119.59,5.20,
170,이노션,"60,400",200,-0.33%,500,"12,080","20,000",29.50,"52,706",18.08,9.88,
171,SK네트웍스,"4,820",25,+0.52%,"2,500","11,963","248,188",11.98,"485,837",-40.85,-5.85,
172,TIGER 단기통안채,"100,755",0,0.00%,0,"11,793","11,705",6.22,"4,623",N/A,N/A,
173,KODEX 코스닥150 레버리지,"12,720",110,-0.86%,0,"11,715","92,100",2.87,"28,096,621",N/A,N/A,
174,롯데관광개발,"16,750",400,+2.45%,500,"11,604","69,276",4.89,"544,821",-25.42,-4.77,
175,JB금융지주,"5,830",10,-0.17%,"5,000","11,484","196,983",39.19,"332,787",3.52,10.36,
176,신세계인터내셔날,"159,500","6,500",+4.25%,"5,000","11,388","7,140",4.93,"92,173",18.39,12.98,
177,아시아나항공,"5,090",115,+2.31%,"5,000","11,363","223,235",5.94,"12,431,680",-0.34,-90.67,
178,금호타이어,"3,955",15,-0.38%,"5,000","11,361","287,260",4.28,"373,529",-11.33,-3.30,
179,진원생명과학,"25,300",800,-3.07%,"1,000","11,325","44,763",11.38,"1,474,006",-86.35,-28.50,
180,코오롱인더,"41,950",850,+2.07%,"5,000","11,318","26,979",14.76,"406,460",7.51,1.58,
181,대웅제약,"97,300",200,-0.21%,"2,500","11,274","11,587",4.91,"74,961",-680.42,4.34,
182,더블유게임즈,"60,400",800,-1.31%,500,"11,098","18,375",16.13,"105,180",10.36,18.93,
183,대한전선,"1,270",5,+0.40%,500,"10,877","856,473",2.11,"61,071,937",84.67,-3.99,
184,한국콜마,"46,900",50,+0.11%,500,"10,731","22,881",25.97,"140,643",48.75,6.39,
185,KODEX MSCI Korea TR,"11,225",60,+0.54%,0,"10,529","93,800",6.51,"302,187",N/A,N/A,
186,SK가스,"112,000",500,+0.45%,"5,000","10,338","9,230",8.90,"12,986",2.62,9.85,
187,코스맥스,"100,500","1,000",-0.99%,500,"10,100","10,050",26.40,"66,480",26.20,10.45,
188,휴켐스,"24,600",50,+0.20%,"1,000","10,056","40,879",8.84,"161,831",20.87,10.82,
189,KBSTAR 200,"35,045",220,+0.63%,0,"9,830","28,050",0.28,"438,590",N/A,N/A,
190,영풍,"524,000","4,000",-0.76%,"5,000","9,652","1,842",4.74,"1,449",4.32,7.40,
191,KODEX 인버스,"4,830",20,-0.41%,0,"9,631","199,400",1.09,"35,143,318",N/A,N/A,
192,GKL,"15,500",0,0.00%,500,"9,588","61,856",6.21,"697,273",-72.09,12.62,
193,롯데리츠,"5,550",40,+0.73%,500,"9,544","171,969",8.92,"389,780",61.67,1.80,
194,다우기술,"21,250",200,-0.93%,500,"9,534","44,867",22.60,"149,723",5.01,14.62,
195,KODEX 단기채권PLUS,"102,800",0,0.00%,0,"9,450","9,193",0.00,"1,164,163",N/A,N/A,
196,태광산업,"834,000","17,000",-2.00%,"5,000","9,286","1,113",9.03,"1,234",7.12,4.34,
197,코리안리,"7,680",10,+0.13%,500,"9,244","120,369",27.31,"323,328",5.49,8.04,
198,쿠쿠홈시스,"41,100",750,-1.79%,100,"9,222","22,437",5.74,"38,482",12.04,16.10,
199,화승엔터프라이즈,"14,850",0,0.00%,500,"8,990","60,537",4.07,"157,977",16.14,19.87,
200,롯데칠성,"100,000","1,300",+1.32%,500,"8,975","8,975",12.84,"49,317",-9.91,-11.68,
201,KG동부제철,"8,980",320,+3.70%,"5,000","8,981","100,009",0.36,"302,883",9.36,-7.44,
202,후성,"9,680",30,+0.31%,500,"8,964","92,607",4.54,"956,938",-645.33,3.85,
203,현대홈쇼핑,"74,400",500,+0.68%,"5,000","8,928","12,000",25.12,"39,551",11.51,5.03,
204,두산,"53,400","3,750",+7.55%,"5,000","8,824","16,524",6.06,"288,543",10.88,23.52,
205,대상,"25,250",350,-1.37%,"1,000","8,749","34,648",17.27,"253,580",6.75,11.17,
206,유나이티드제약,"53,600","1,900",-3.42%,500,"8,707","16,245",4.48,"2,354,921",28.94,12.79,
207,제이알글로벌리츠,"5,180",40,-0.77%,"1,000","8,578","165,600",0.55,"247,545",N/A,-0.05,
208,티와이홀딩스,"22,500",700,-3.02%,500,"8,438","37,501",6.96,"169,573",N/A,N/A,
209,오리온홀딩스,"13,400",50,-0.37%,500,"8,394","62,645",6.94,"279,829",12.04,2.55,
210,SK디앤디,"43,650",550,+1.28%,"1,000","8,289","18,990",5.02,"149,746",8.98,12.66,
211,동아쏘시오홀딩스,"134,500","5,000",-3.58%,"5,000","8,256","6,138",12.76,"49,389",33.42,2.67,
212,동원시스템즈,"32,100",650,+2.07%,"5,000","8,224","25,619",1.64,"39,883",18.24,8.69,
213,현대그린푸드,"8,340",50,+0.60%,500,"8,149","97,704",12.16,"852,247",19.58,3.20,
214,CJ CGV,"22,800","1,100",+5.07%,500,"8,003","35,100",5.51,"1,159,286",-1.46,-57.60,
215,드림텍,"12,800","1,000",-7.25%,100,"7,954","62,137",23.60,"2,402,664",64.00,13.24,
216,동국제강,"8,300",230,+2.85%,"5,000","7,921","95,433",28.90,"2,572,539",-14.56,-3.63,
217,보령제약,"16,550",150,+0.91%,500,"7,881","47,620",8.66,"269,293",27.13,11.96,
218,효성티앤씨,"181,500","5,000",-2.68%,"5,000","7,855","4,328",14.42,"48,265",9.21,20.86,
219,동원산업,"213,000",500,-0.23%,"5,000","7,833","3,678",7.41,"2,354",8.67,4.45,
220,대한해운,"3,175",205,-6.07%,500,"7,756","244,271",5.26,"24,599,778",46.69,11.47,
221,에스엘,"15,900",350,+2.25%,500,"7,664","48,203",14.72,"316,231",17.08,7.25,
222,한진중공업,"9,200",160,+1.77%,"5,000","7,661","83,274",20.89,"324,245",3.40,-132.20,
223,롯데하이마트,"32,200",200,+0.63%,"5,000","7,602","23,608",12.59,"70,730",-8.19,-5.02,
224,신성이엔지,"3,815",45,+1.19%,500,"7,599","199,183",1.19,"24,262,900",103.11,1.77,
225,풍산,"27,100",400,-1.45%,"5,000","7,595","28,024",13.32,"259,709",78.32,1.28,
226,S&T모티브,"51,800",900,-1.71%,"5,000","7,575","14,623",25.35,"60,270",12.15,0.33,
227,경동나비엔,"55,500",700,+1.28%,"1,000","7,551","13,605",9.98,"51,672",18.26,9.59,
228,LG상사,"19,450",500,+2.64%,"5,000","7,539","38,760",22.05,"241,121",5.30,2.49,
229,삼양식품,"99,800",100,-0.10%,"5,000","7,518","7,533",7.35,"37,322",9.86,23.15,
230,동아에스티,"88,600",700,-0.78%,"5,000","7,481","8,444",24.99,"19,132",9.32,11.58,
231,일진다이아,"52,500","1,500",+2.94%,"1,000","7,457","14,203",2.11,"302,940",104.37,8.06,
